Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 20, 2013;3:00p;Boston Celtics;78;New York Knicks;85;Box Score;;19,033;
Sat, Apr 20, 2013;5:30p;Golden State Warriors;95;Denver Nuggets;97;Box Score;;19,155;
Sat, Apr 20, 2013;8:00p;Chicago Bulls;89;Brooklyn Nets;106;Box Score;;17,732;
Sat, Apr 20, 2013;10:30p;Memphis Grizzlies;91;Los Angeles Clippers;112;Box Score;;19,373;
Sun, Apr 21, 2013;1:00p;Atlanta Hawks;90;Indiana Pacers;107;Box Score;;18,165;
Sun, Apr 21, 2013;3:30p;Los Angeles Lakers;79;San Antonio Spurs;91;Box Score;;18,581;
Sun, Apr 21, 2013;7:00p;Milwaukee Bucks;87;Miami Heat;110;Box Score;;20,006;
Sun, Apr 21, 2013;9:30p;Houston Rockets;91;Oklahoma City Thunder;120;Box Score;;18,203;
Mon, Apr 22, 2013;8:00p;Chicago Bulls;90;Brooklyn Nets;82;Box Score;;17,732;
Mon, Apr 22, 2013;10:30p;Memphis Grizzlies;91;Los Angeles Clippers;93;Box Score;;19,276;
Tue, Apr 23, 2013;7:30p;Milwaukee Bucks;86;Miami Heat;98;Box Score;;20,097;
Tue, Apr 23, 2013;8:00p;Boston Celtics;71;New York Knicks;87;Box Score;;19,033;
Tue, Apr 23, 2013;10:30p;Golden State Warriors;131;Denver Nuggets;117;Box Score;;19,155;
Wed, Apr 24, 2013;7:00p;Houston Rockets;102;Oklahoma City Thunder;105;Box Score;;18,203;
Wed, Apr 24, 2013;7:30p;Atlanta Hawks;98;Indiana Pacers;113;Box Score;;18,165;
Wed, Apr 24, 2013;9:30p;Los Angeles Lakers;91;San Antonio Spurs;102;Box Score;;18,581;
Thu, Apr 25, 2013;7:00p;Miami Heat;104;Milwaukee Bucks;91;Box Score;;18,165;
Thu, Apr 25, 2013;8:30p;Brooklyn Nets;76;Chicago Bulls;79;Box Score;;21,672;
Thu, Apr 25, 2013;9:30p;Los Angeles Clippers;82;Memphis Grizzlies;94;Box Score;;18,119;
Fri, Apr 26, 2013;8:00p;New York Knicks;90;Boston Celtics;76;Box Score;;18,624;
Fri, Apr 26, 2013;10:30p;Denver Nuggets;108;Golden State Warriors;110;Box Score;;19,596;
Fri, Apr 26, 2013;10:30p;San Antonio Spurs;120;Los Angeles Lakers;89;Box Score;;18,997;
Sat, Apr 27, 2013;2:00p;Brooklyn Nets;134;Chicago Bulls;142;Box Score;3OT;21,758;
Sat, Apr 27, 2013;4:30p;Los Angeles Clippers;83;Memphis Grizzlies;104;Box Score;;18,119;
Sat, Apr 27, 2013;7:00p;Indiana Pacers;69;Atlanta Hawks;90;Box Score;;18,238;
Sat, Apr 27, 2013;9:30p;Oklahoma City Thunder;104;Houston Rockets;101;Box Score;;18,163;
Sun, Apr 28, 2013;1:00p;New York Knicks;90;Boston Celtics;97;Box Score;OT;18,624;
Sun, Apr 28, 2013;3:30p;Miami Heat;88;Milwaukee Bucks;77;Box Score;;18,717;
Sun, Apr 28, 2013;7:00p;San Antonio Spurs;103;Los Angeles Lakers;82;Box Score;;18,997;
Sun, Apr 28, 2013;9:30p;Denver Nuggets;101;Golden State Warriors;115;Box Score;;19,596;
Mon, Apr 29, 2013;7:00p;Chicago Bulls;91;Brooklyn Nets;110;Box Score;;17,732;
Mon, Apr 29, 2013;7:30p;Indiana Pacers;91;Atlanta Hawks;102;Box Score;;18,241;
Mon, Apr 29, 2013;9:30p;Oklahoma City Thunder;103;Houston Rockets;105;Box Score;;18,081;
Tue, Apr 30, 2013;8:00p;Golden State Warriors;100;Denver Nuggets;107;Box Score;;19,155;
Tue, Apr 30, 2013;10:30p;Memphis Grizzlies;103;Los Angeles Clippers;93;Box Score;;19,384;
;;;;;;;;;
Wed, May 1, 2013;7:00p;Boston Celtics;92;New York Knicks;86;Box Score;;19,033;
Wed, May 1, 2013;8:00p;Atlanta Hawks;83;Indiana Pacers;106;Box Score;;18,165;
Wed, May 1, 2013;9:30p;Houston Rockets;107;Oklahoma City Thunder;100;Box Score;;18,203;
Thu, May 2, 2013;8:00p;Brooklyn Nets;95;Chicago Bulls;92;Box Score;;21,81;
Thu, May 2, 2013;10:30p;Denver Nuggets;88;Golden State Warriors;92;Box Score;;19,596;
Fri, May 3, 2013;7:00p;Indiana Pacers;81;Atlanta Hawks;73;Box Score;;18,238;
Fri, May 3, 2013;7:00p;New York Knicks;88;Boston Celtics;80;Box Score;;18,624;
Fri, May 3, 2013;9:30p;Oklahoma City Thunder;103;Houston Rockets;94;Box Score;;18,357;
Fri, May 3, 2013;9:30p;Los Angeles Clippers;105;Memphis Grizzlies;118;Box Score;;18,119;
Sat, May 4, 2013;8:00p;Chicago Bulls;99;Brooklyn Nets;93;Box Score;;17,732;
Sun, May 5, 2013;1:00p;Memphis Grizzlies;91;Oklahoma City Thunder;93;Box Score;;18,203;
Sun, May 5, 2013;3:30p;Indiana Pacers;102;New York Knicks;95;Box Score;;19,033;
Mon, May 6, 2013;7:00p;Chicago Bulls;93;Miami Heat;86;Box Score;;19,685;
Mon, May 6, 2013;9:30p;Golden State Warriors;127;San Antonio Spurs;129;Box Score;2OT;18,581;
Tue, May 7, 2013;7:00p;Indiana Pacers;79;New York Knicks;105;Box Score;;19,033;
Tue, May 7, 2013;9:30p;Memphis Grizzlies;99;Oklahoma City Thunder;93;Box Score;;18,203;
Wed, May 8, 2013;7:00p;Chicago Bulls;78;Miami Heat;115;Box Score;;19,817;
Wed, May 8, 2013;9:30p;Golden State Warriors;100;San Antonio Spurs;91;Box Score;;18,581;
Fri, May 10, 2013;8:00p;Miami Heat;104;Chicago Bulls;94;Box Score;;22,675;
Fri, May 10, 2013;10:30p;San Antonio Spurs;102;Golden State Warriors;92;Box Score;;19,596;
Sat, May 11, 2013;5:00p;Oklahoma City Thunder;81;Memphis Grizzlies;87;Box Score;;18,119;
Sat, May 11, 2013;8:00p;New York Knicks;71;Indiana Pacers;82;Box Score;;18,165;
Sun, May 12, 2013;3:30p;San Antonio Spurs;87;Golden State Warriors;97;Box Score;OT;19,596;
Mon, May 13, 2013;7:00p;Miami Heat;88;Chicago Bulls;65;Box Score;;21,99;
Mon, May 13, 2013;9:30p;Oklahoma City Thunder;97;Memphis Grizzlies;103;Box Score;OT;18,119;
Tue, May 14, 2013;7:00p;New York Knicks;82;Indiana Pacers;93;Box Score;;18,165;
Tue, May 14, 2013;9:30p;Golden State Warriors;91;San Antonio Spurs;109;Box Score;;18,581;
Wed, May 15, 2013;7:00p;Chicago Bulls;91;Miami Heat;94;Box Score;;20,025;
Wed, May 15, 2013;9:30p;Memphis Grizzlies;88;Oklahoma City Thunder;84;Box Score;;18,203;
Thu, May 16, 2013;8:00p;Indiana Pacers;75;New York Knicks;85;Box Score;;19,033;
Thu, May 16, 2013;10:30p;San Antonio Spurs;94;Golden State Warriors;82;Box Score;;19,596;
Sat, May 18, 2013;8:00p;New York Knicks;99;Indiana Pacers;106;Box Score;;18,165;
Sun, May 19, 2013;3:30p;Memphis Grizzlies;83;San Antonio Spurs;105;Box Score;;18,581;
Tue, May 21, 2013;9:00p;Memphis Grizzlies;89;San Antonio Spurs;93;Box Score;OT;18,581;
Wed, May 22, 2013;8:30p;Indiana Pacers;102;Miami Heat;103;Box Score;OT;19,679;
;;;;;;;;;
Fri, May 24, 2013;8:30p;Indiana Pacers;97;Miami Heat;93;Box Score;;20,022;
Sat, May 25, 2013;9:00p;San Antonio Spurs;104;Memphis Grizzlies;93;Box Score;OT;18,119;
Sun, May 26, 2013;8:30p;Miami Heat;114;Indiana Pacers;96;Box Score;;18,165;
Mon, May 27, 2013;9:00p;San Antonio Spurs;93;Memphis Grizzlies;86;Box Score;;18,119;
Tue, May 28, 2013;8:30p;Miami Heat;92;Indiana Pacers;99;Box Score;;18,165;
Thu, May 30, 2013;8:30p;Indiana Pacers;79;Miami Heat;90;Box Score;;19,913;
Sat, Jun 1, 2013;8:30p;Miami Heat;77;Indiana Pacers;91;Box Score;;18,165;
Mon, Jun 3, 2013;8:30p;Indiana Pacers;76;Miami Heat;99;Box Score;;20,025;
Thu, Jun 6, 2013;9:00p;San Antonio Spurs;92;Miami Heat;88;Box Score;;19,775;
Sun, Jun 9, 2013;8:00p;San Antonio Spurs;84;Miami Heat;103;Box Score;;19,9;
Tue, Jun 11, 2013;9:00p;Miami Heat;77;San Antonio Spurs;113;Box Score;;18,581;
Thu, Jun 13, 2013;9:00p;Miami Heat;109;San Antonio Spurs;93;Box Score;;18,581;
Sun, Jun 16, 2013;8:00p;Miami Heat;104;San Antonio Spurs;114;Box Score;;18,581;
Tue, Jun 18, 2013;9:00p;San Antonio Spurs;100;Miami Heat;103;Box Score;OT;19,9;
